Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
EPBB,Yes,2/1/2013,6/10/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,11.00,"$54,808.00","$16,011.00"," 12,527 "
EPBB,No,2/4/2013,7/2/2013,Eversource Energy,Tolland,Mansfield,06250,Modern Solar,Does Not Apply,Other Homeowner Purchase,5.76,"$30,103.00","$11,075.00"," 6,559 "
EPBB,No,2/4/2013,7/2/2013,Eversource Energy,Tolland,Mansfield,06250,Modern Solar,Does Not Apply,Other Homeowner Purchase,5.76,"$31,100.00","$10,479.00"," 6,559 "
EPBB,Yes,2/4/2013,7/24/2013,Eversource Energy,Middlesex,Portland,06480,RGS Energy,Does Not Apply,Other Homeowner Purchase,10.54,"$54,594.00","$14,914.00"," 11,997 "
EPBB,Yes,2/4/2013,6/14/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,9.50,"$33,250.00","$13,420.00"," 10,819 "
PBI,No,2/4/2013,4/30/2013,Eversource Energy,Tolland,Stafford,06075,SolarCity,Does Not Apply,PPA,7.48,"$37,213.00","$14,946.60"," 8,518 "
PBI,No,2/4/2013,4/2/2013,Eversource Energy,Middlesex,Old Saybrook,06475,SolarCity,Does Not Apply,PPA,7.68,"$38,208.00","$15,295.20"," 8,746 "
PBI,No,2/4/2013,4/8/2013,Eversource Energy,New Haven,Southbury,06488,SolarCity,SolarCity,PPA,7.92,"$39,402.00","$13,497.90"," 9,019 "
PBI,No,2/4/2013,4/10/2013,Eversource Energy,Hartford,Bloomfield,06002,SolarCity,Does Not Apply,PPA,5.04,"$25,074.00","$10,550.40"," 5,740 "
PBI,No,2/4/2013,7/19/2013,Eversource Energy,Hartford,Windsor,06095,SolarCity,Does Not Apply,PPA,10.08,"$50,148.00","$20,061.00"," 11,479 "
PBI,No,2/4/2013,7/10/2013,Eversource Energy,New London,Griswold,06351,SolarCity,Does Not Apply,PPA,7.92,"$39,402.00","$14,296.20"," 9,019 "
