"Town","FIPS","Year","Measure Type","Variable","Value"
"Bozrah","0901106820","2011-2015","Number","Margins of Error",13156
"Bozrah","0901106820","2011-2015","Ratio to State Median","Median Home Value",0.88
"Bozrah","0901106820","2011-2015","Ratio to State Median","Margins of Error",0.05
"Bozrah","0901106820","2012-2016","Number","Median Home Value",232900
"Bozrah","0901106820","2012-2016","Number","Margins of Error",14034
"Bozrah","0901106820","2012-2016","Ratio to State Median","Median Home Value",0.86
"Bozrah","0901106820","2012-2016","Ratio to State Median","Margins of Error",0.05
"Bozrah","0901106820","2013-2017","Number","Median Home Value",225900
"Bozrah","0901106820","2013-2017","Number","Margins of Error",15868
"Bozrah","0901106820","2013-2017","Ratio to State Median","Median Home Value",0.84
"Bozrah","0901106820","2013-2017","Ratio to State Median","Margins of Error",0.06
"Branford","0900907310","2006-2010","Number","Median Home Value",315900
"Branford","0900907310","2006-2010","Number","Margins of Error",12789
"Branford","0900907310","2006-2010","Ratio to State Median","Median Home Value",1.07
"Branford","0900907310","2006-2010","Ratio to State Median","Margins of Error",0.04
"Branford","0900907310","2007-2011","Number","Median Home Value",312200
"Branford","0900907310","2007-2011","Number","Margins of Error",13029
"Branford","0900907310","2007-2011","Ratio to State Median","Median Home Value",1.07
"Branford","0900907310","2007-2011","Ratio to State Median","Margins of Error",0.04
"Branford","0900907310","2008-2012","Number","Median Home Value",307500
"Branford","0900907310","2008-2012","Number","Margins of Error",13394
"Branford","0900907310","2008-2012","Ratio to State Median","Median Home Value",1.08
"Branford","0900907310","2008-2012","Ratio to State Median","Margins of Error",0.05
"Branford","0900907310","2009-2013","Number","Median Home Value",311400
"Branford","0900907310","2009-2013","Number","Margins of Error",12245
"Branford","0900907310","2009-2013","Ratio to State Median","Median Home Value",1.12
"Branford","0900907310","2009-2013","Ratio to State Median","Margins of Error",0.04
"Branford","0900907310","2010-2014","Number","Median Home Value",311000
"Branford","0900907310","2010-2014","Number","Margins of Error",11996
"Branford","0900907310","2010-2014","Ratio to State Median","Median Home Value",1.13
"Branford","0900907310","2010-2014","Ratio to State Median","Margins of Error",0.04
"Branford","0900907310","2011-2015","Number","Median Home Value",296400
"Branford","0900907310","2011-2015","Number","Margins of Error",9535
"Branford","0900907310","2011-2015","Ratio to State Median","Median Home Value",1.1
"Branford","0900907310","2011-2015","Ratio to State Median","Margins of Error",0.04
"Branford","0900907310","2012-2016","Number","Median Home Value",293600
"Branford","0900907310","2012-2016","Number","Margins of Error",9452
"Branford","0900907310","2012-2016","Ratio to State Median","Median Home Value",1.09
"Branford","0900907310","2012-2016","Ratio to State Median","Margins of Error",0.04
"Branford","0900907310","2013-2017","Number","Median Home Value",298200
"Branford","0900907310","2013-2017","Number","Margins of Error",11322
"Branford","0900907310","2013-2017","Ratio to State Median","Median Home Value",1.1
"Branford","0900907310","2013-2017","Ratio to State Median","Margins of Error",0.04
"Bridgeport","0900108070","2006-2010","Number","Median Home Value",236000
"Bridgeport","0900108070","2006-2010","Number","Margins of Error",6651
"Bridgeport","0900108070","2006-2010","Ratio to State Median","Median Home Value",0.8
"Bridgeport","0900108070","2006-2010","Ratio to State Median","Margins of Error",0.02
"Bridgeport","0900108070","2007-2011","Number","Median Home Value",228300
"Bridgeport","0900108070","2007-2011","Number","Margins of Error",5670
"Bridgeport","0900108070","2007-2011","Ratio to State Median","Median Home Value",0.78
"Bridgeport","0900108070","2007-2011","Ratio to State Median","Margins of Error",0.02
"Bridgeport","0900108070","2008-2012","Number","Median Home Value",206300
"Bridgeport","0900108070","2008-2012","Number","Margins of Error",6297
"Bridgeport","0900108070","2008-2012","Ratio to State Median","Median Home Value",0.72
"Bridgeport","0900108070","2008-2012","Ratio to State Median","Margins of Error",0.02
"Bridgeport","0900108070","2009-2013","Number","Median Home Value",188000
"Bridgeport","0900108070","2009-2013","Number","Margins of Error",4103
"Bridgeport","0900108070","2009-2013","Ratio to State Median","Median Home Value",0.67
"Bridgeport","0900108070","2009-2013","Ratio to State Median","Margins of Error",0.01
"Bridgeport","0900108070","2010-2014","Number","Median Home Value",176000
"Bridgeport","0900108070","2010-2014","Number","Margins of Error",4829
"Bridgeport","0900108070","2010-2014","Ratio to State Median","Median Home Value",0.64
"Bridgeport","0900108070","2010-2014","Ratio to State Median","Margins of Error",0.02
"Bridgeport","0900108070","2011-2015","Number","Median Home Value",169100
"Bridgeport","0900108070","2011-2015","Number","Margins of Error",2986
"Bridgeport","0900108070","2011-2015","Ratio to State Median","Median Home Value",0.63
"Bridgeport","0900108070","2011-2015","Ratio to State Median","Margins of Error",0.01
"Bridgeport","0900108070","2012-2016","Number","Median Home Value",168200
"Bridgeport","0900108070","2012-2016","Number","Margins of Error",2736
"Bridgeport","0900108070","2012-2016","Ratio to State Median","Median Home Value",0.62
"Bridgeport","0900108070","2012-2016","Ratio to State Median","Margins of Error",0.01
"Bridgeport","0900108070","2013-2017","Number","Median Home Value",170300
"Bridgeport","0900108070","2013-2017","Number","Margins of Error",2894
"Bridgeport","0900108070","2013-2017","Ratio to State Median","Median Home Value",0.63
"Bridgeport","0900108070","2013-2017","Ratio to State Median","Margins of Error",0.01
"Bridgewater","0900508210","2006-2010","Number","Median Home Value",574900
"Bridgewater","0900508210","2006-2010","Number","Margins of Error",51468
"Bridgewater","0900508210","2006-2010","Ratio to State Median","Median Home Value",1.94
"Bridgewater","0900508210","2006-2010","Ratio to State Median","Margins of Error",0.17
"Bridgewater","0900508210","2007-2011","Number","Median Home Value",562500
"Bridgewater","0900508210","2007-2011","Number","Margins of Error",43058
"Bridgewater","0900508210","2007-2011","Ratio to State Median","Median Home Value",1.92
"Bridgewater","0900508210","2007-2011","Ratio to State Median","Margins of Error",0.15
"Bridgewater","0900508210","2008-2012","Number","Median Home Value",543500
"Bridgewater","0900508210","2008-2012","Number","Margins of Error",52603
"Bridgewater","0900508210","2008-2012","Ratio to State Median","Median Home Value",1.9
"Bridgewater","0900508210","2008-2012","Ratio to State Median","Margins of Error",0.18
"Bridgewater","0900508210","2009-2013","Number","Median Home Value",551800
"Bridgewater","0900508210","2009-2013","Number","Margins of Error",40749
"Bridgewater","0900508210","2009-2013","Ratio to State Median","Median Home Value",1.98
"Bridgewater","0900508210","2009-2013","Ratio to State Median","Margins of Error",0.15
"Bridgewater","0900508210","2010-2014","Number","Median Home Value",498800
"Bridgewater","0900508210","2010-2014","Number","Margins of Error",40904
"Bridgewater","0900508210","2010-2014","Ratio to State Median","Median Home Value",1.82
"Bridgewater","0900508210","2010-2014","Ratio to State Median","Margins of Error",0.15
"Bridgewater","0900508210","2011-2015","Number","Median Home Value",494900
"Bridgewater","0900508210","2011-2015","Number","Margins of Error",34847
"Bridgewater","0900508210","2011-2015","Ratio to State Median","Median Home Value",1.83
"Bridgewater","0900508210","2011-2015","Ratio to State Median","Margins of Error",0.13
"Bridgewater","0900508210","2012-2016","Number","Median Home Value",505200
"Bridgewater","0900508210","2012-2016","Number","Margins of Error",52291
"Bridgewater","0900508210","2012-2016","Ratio to State Median","Median Home Value",1.88
"Bridgewater","0900508210","2012-2016","Ratio to State Median","Margins of Error",0.19
"Bridgewater","0900508210","2013-2017","Number","Median Home Value",495000
"Bridgewater","0900508210","2013-2017","Number","Margins of Error",36478
"Bridgewater","0900508210","2013-2017","Ratio to State Median","Median Home Value",1.83
"Bridgewater","0900508210","2013-2017","Ratio to State Median","Margins of Error",0.14
"Bristol","0900308490","2006-2010","Number","Median Home Value",218900
"Bristol","0900308490","2006-2010","Number","Margins of Error",4151
"Bristol","0900308490","2006-2010","Ratio to State Median","Median Home Value",0.74
"Bristol","0900308490","2006-2010","Ratio to State Median","Margins of Error",0.01
"Bristol","0900308490","2007-2011","Number","Median Home Value",217100
"Bristol","0900308490","2007-2011","Number","Margins of Error",4161
"Bristol","0900308490","2007-2011","Ratio to State Median","Median Home Value",0.74
"Bristol","0900308490","2007-2011","Ratio to State Median","Margins of Error",0.01
"Bristol","0900308490","2008-2012","Number","Median Home Value",211700
"Bristol","0900308490","2008-2012","Number","Margins of Error",4011
"Bristol","0900308490","2008-2012","Ratio to State Median","Median Home Value",0.74
"Bristol","0900308490","2008-2012","Ratio to State Median","Margins of Error",0.01
"Bristol","0900308490","2009-2013","Number","Median Home Value",204500
"Bristol","0900308490","2009-2013","Number","Margins of Error",5199
"Bristol","0900308490","2009-2013","Ratio to State Median","Median Home Value",0.73
"Bristol","0900308490","2009-2013","Ratio to State Median","Margins of Error",0.02
"Bristol","0900308490","2010-2014","Number","Median Home Value",199000
"Bristol","0900308490","2010-2014","Number","Margins of Error",4075
"Bristol","0900308490","2010-2014","Ratio to State Median","Median Home Value",0.72
"Bristol","0900308490","2010-2014","Ratio to State Median","Margins of Error",0.02
"Bristol","0900308490","2011-2015","Number","Median Home Value",194600
"Bristol","0900308490","2011-2015","Number","Margins of Error",4686
"Bristol","0900308490","2011-2015","Ratio to State Median","Median Home Value",0.72
"Bristol","0900308490","2011-2015","Ratio to State Median","Margins of Error",0.02
"Bristol","0900308490","2012-2016","Number","Median Home Value",192500
"Bristol","0900308490","2012-2016","Number","Margins of Error",4549
"Bristol","0900308490","2012-2016","Ratio to State Median","Median Home Value",0.71
"Bristol","0900308490","2012-2016","Ratio to State Median","Margins of Error",0.02
"Bristol","0900308490","2013-2017","Number","Median Home Value",190500
"Bristol","0900308490","2013-2017","Number","Margins of Error",5015
"Bristol","0900308490","2013-2017","Ratio to State Median","Median Home Value",0.71
"Bristol","0900308490","2013-2017","Ratio to State Median","Margins of Error",0.02
"Brookfield","0900108980","2006-2010","Number","Median Home Value",442400
"Brookfield","0900108980","2006-2010","Number","Margins of Error",17703
"Brookfield","0900108980","2006-2010","Ratio to State Median","Median Home Value",1.49
"Brookfield","0900108980","2006-2010","Ratio to State Median","Margins of Error",0.06
"Brookfield","0900108980","2007-2011","Number","Median Home Value",426600
"Brookfield","0900108980","2007-2011","Number","Margins of Error",16704
"Brookfield","0900108980","2007-2011","Ratio to State Median","Median Home Value",1.46
"Brookfield","0900108980","2007-2011","Ratio to State Median","Margins of Error",0.06
"Brookfield","0900108980","2008-2012","Number","Median Home Value",403400
"Brookfield","0900108980","2008-2012","Number","Margins of Error",17774
"Brookfield","0900108980","2008-2012","Ratio to State Median","Median Home Value",1.41
"Brookfield","0900108980","2008-2012","Ratio to State Median","Margins of Error",0.06
"Brookfield","0900108980","2009-2013","Number","Median Home Value",376700
"Brookfield","0900108980","2009-2013","Number","Margins of Error",13398
"Brookfield","0900108980","2009-2013","Ratio to State Median","Median Home Value",1.35
"Brookfield","0900108980","2009-2013","Ratio to State Median","Margins of Error",0.05
"Brookfield","0900108980","2010-2014","Number","Median Home Value",365700
"Brookfield","0900108980","2010-2014","Number","Margins of Error",11177
"Brookfield","0900108980","2010-2014","Ratio to State Median","Median Home Value",1.33
"Brookfield","0900108980","2010-2014","Ratio to State Median","Margins of Error",0.04
"Brookfield","0900108980","2011-2015","Number","Median Home Value",366300
"Brookfield","0900108980","2011-2015","Number","Margins of Error",12614
"Brookfield","0900108980","2011-2015","Ratio to State Median","Median Home Value",1.35
"Brookfield","0900108980","2011-2015","Ratio to State Median","Margins of Error",0.05
"Brookfield","0900108980","2012-2016","Number","Median Home Value",358500
"Brookfield","0900108980","2012-2016","Number","Margins of Error",11262
"Brookfield","0900108980","2012-2016","Ratio to State Median","Median Home Value",1.33
"Brookfield","0900108980","2012-2016","Ratio to State Median","Margins of Error",0.04
"Brookfield","0900108980","2013-2017","Number","Median Home Value",370000
"Brookfield","0900108980","2013-2017","Number","Margins of Error",13842
"Brookfield","0900108980","2013-2017","Ratio to State Median","Median Home Value",1.37
"Brookfield","0900108980","2013-2017","Ratio to State Median","Margins of Error",0.05
"Brooklyn","0901509190","2006-2010","Number","Median Home Value",267300
"Brooklyn","0901509190","2006-2010","Number","Margins of Error",11229
"Brooklyn","0901509190","2006-2010","Ratio to State Median","Median Home Value",0.9
"Brooklyn","0901509190","2006-2010","Ratio to State Median","Margins of Error",0.04
